trial_number,params,value
16,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9969525103659858, 'tfidf_min_df': 153, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.08125911500806096, 'C_svc': 1.4320363120889188, 'svc_max_iter': 5572}",0.8905220638150066
17,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.8877694277697695, 'tfidf_min_df': 107, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.05984480434672178, 'C_svc': 5.318095571574122, 'svc_max_iter': 1058}",0.8732455676045829
18,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9500535096750812, 'tfidf_min_df': 241, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.0658132141784003, 'C_svc': 1.7857552832252044, 'svc_max_iter': 13687}",0.8786898073349481
19,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9654259572946808, 'tfidf_min_df': 88, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.08897203777237336, 'C_svc': 5.150127713467053, 'svc_max_iter': 4605}",0.8786583657610667
20,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.9035830348696173, 'tfidf_min_df': 203, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.08878425822890784, 'C_svc': 9.899794117306119, 'svc_max_iter': 10011}",0.8774308619596074
21,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9987256587819153, 'tfidf_min_df': 160, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.08509335861828617, 'C_svc': 1.4028777726512285, 'svc_max_iter': 4118}",0.8909311162154842
22,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9730181007337276, 'tfidf_min_df': 16, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07058773627655418, 'C_svc': 1.2225380639383077, 'svc_max_iter': 3487}",0.9012840540715847
23,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9668299519548589, 'tfidf_min_df': 20, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07324954737096182, 'C_svc': 0.11207204129219683, 'svc_max_iter': 2918}",0.8650009680043611
24,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9207858263496234, 'tfidf_min_df': 75, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09281841415382887, 'C_svc': 2.6202866611637448, 'svc_max_iter': 7955}",0.8872492237397251
25,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9715963297816528, 'tfidf_min_df': 345, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.07172103934373224, 'svc_loss': 'hinge', 'C_svc': 0.9545162664885314, 'svc_max_iter': 3259}",0.8820881908914503
26,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.8165719963434698, 'tfidf_min_df': 63, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.05725422165995255, 'C_svc': 3.5658371748689413, 'svc_max_iter': 8095}",0.8689656613450358
27,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9774622546854557, 'tfidf_min_df': 197, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09891306195620503, 'C_svc': 1.0390191282954253, 'svc_max_iter': 2533}",0.8894835412025733
28,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8781836308075135, 'tfidf_min_df': 5, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.0669394113211454, 'C_svc': 2.553557812016723, 'svc_max_iter': 14149}",0.8986092822458097
29,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.9201827584754225, 'tfidf_min_df': 318, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.052309056022935715, 'svc_loss': 'squared_hinge', 'C_svc': 0.8884262501044242, 'svc_max_iter': 7167}",0.8767384095713103
30,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9495247866793955, 'tfidf_min_df': 121, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09223651841128842, 'C_svc': 4.555175142906896, 'svc_max_iter': 2909}",0.8734032755683125
31,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8791380876504228, 'tfidf_min_df': 7, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07032315308491795, 'C_svc': 2.5284072466777268, 'svc_max_iter': 14508}",0.8982945694212623
32,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8202436294841586, 'tfidf_min_df': 67, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.06596688285498377, 'C_svc': 0.6517493054221964, 'svc_max_iter': 14117}",0.9035183220201434
33,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8249701618771983, 'tfidf_min_df': 59, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07684697682078526, 'C_svc': 0.6843275574511969, 'svc_max_iter': 15963}",0.9038014645336572
34,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8081770898302761, 'tfidf_min_df': 192, 'classifier': 'RidgeClassifier', 'ridge_alpha': 9.846732937434062, 'solver': 'sag', 'tol': 0.07616557322000692}",0.8909623349750622
35,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.8224083390509089, 'tfidf_min_df': 103, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.05408446119614462, 'C_svc': 1.7327797997725634, 'svc_max_iter': 16494}",0.8901127390859365
36,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.7886452374036507, 'tfidf_min_df': 406, 'classifier': 'RidgeClassifier', 'ridge_alpha': 4.331440777571507, 'solver': 'lsqr', 'tol': 0.06405741728370776}",0.8725533281277311
